City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tecozautla,20.5333,-99.6333,18.79,43,0,4.65,MX,1674692174
1,castro,-24.7911,-50.0119,19.61,70,2,3.41,BR,1674692175
2,pallasovka,50.05,46.8833,-7.94,63,5,1.52,RU,1674692176
3,waiouru,-39.4833,175.6667,21.35,44,84,0.79,NZ,1674692177
4,ushuaia,-54.8,-68.3,5.75,86,76,2.25,AR,1674692070
5,conceicao do araguaia,-8.2578,-49.2647,24.12,93,98,0.65,BR,1674692178
6,bredasdorp,-34.5322,20.0403,16.52,76,2,1.53,ZA,1674692178
7,cape town,-33.9258,18.4232,18.28,74,0,6.26,ZA,1674692179
8,busselton,-33.65,115.3333,19.67,57,0,3.65,AU,1674692180
9,hermanus,-34.4187,19.2345,16.0,75,57,3.71,ZA,1674692180
10,ferrandina,40.5012,16.4547,5.58,93,89,3.49,IT,1674692181
11,mataura,-46.1927,168.8643,24.88,31,75,2.18,NZ,1674692182
12,severo-kurilsk,50.6789,156.125,-3.4,89,100,6.46,RU,1674692182
13,vaini,-21.2,-175.2,27.09,94,75,4.12,TO,1674692183
14,nanortalik,60.1432,-45.2371,1.08,97,100,4.86,GL,1674692184
15,rikitea,-23.1203,-134.9692,26.33,77,100,7.18,PF,1674692185
16,hranice,49.548,17.7347,0.27,82,99,1.42,CZ,1674692185
17,luderitz,-26.6481,15.1594,17.62,65,0,8.64,NA,1674692186
18,ambon,-3.6954,128.1814,27.08,89,20,2.57,ID,1674692187
19,victor harbor,-35.5667,138.6167,20.38,76,65,0.45,AU,1674692188
20,bilma,18.6853,12.9164,21.43,13,4,2.9,NE,1674692188
21,atuona,-9.8,-139.0333,25.86,75,51,6.87,PF,1674692121
22,asau,46.4333,26.4,-3.49,95,80,0.68,RO,1674692189
23,upernavik,72.7868,-56.1549,-15.22,95,100,5.07,GL,1674692019
24,qaanaaq,77.484,-69.3632,-19.36,66,3,3.41,GL,1674692121
25,kaitangata,-46.2817,169.8464,21.39,55,93,2.74,NZ,1674692191
26,kapaa,22.0752,-159.319,26.18,75,40,8.75,US,1674692138
27,albany,42.6001,-73.9662,1.69,90,100,2.24,US,1674692192
28,puerto ayora,-0.7393,-90.3518,25.31,90,90,1.34,EC,1674692193
29,cukai,4.25,103.4167,23.97,90,100,3.67,MY,1674692194
30,east london,-33.0153,27.9116,20.05,89,79,5.88,ZA,1674692194
31,maragogi,-9.0122,-35.2225,26.08,74,5,5.54,BR,1674692195
32,carnarvon,-24.8667,113.6333,28.69,60,38,3.63,AU,1674692143
33,ilebo,-4.3167,20.5833,19.41,95,99,0.84,CD,1674692197
34,narsaq,60.9167,-46.05,0.12,99,100,3.58,GL,1674692197
35,san jose,37.3394,-121.895,19.38,38,0,9.77,US,1674691856
36,port alfred,-33.5906,26.891,19.54,91,56,0.45,ZA,1674692198
37,bitung,1.4451,125.1824,26.47,84,100,3.53,ID,1674692199
38,bluff,-46.6,168.3333,18.57,56,73,1.48,NZ,1674692199
39,talnakh,69.4865,88.3972,-19.89,95,100,7.54,RU,1674692200
40,zhangye,38.9342,100.4517,-14.7,70,58,0.58,CN,1674692201
41,tautira,-17.7333,-149.15,26.72,84,43,7.9,PF,1674692202
42,victoria,22.2855,114.1577,15.53,73,41,1.79,HK,1674692171
43,ponta do sol,32.6667,-17.1,16.35,50,11,5.03,PT,1674692204
44,whitehorse,60.7161,-135.0538,5.17,81,75,5.81,CA,1674692205
45,birzai,56.2,24.75,-1.59,93,52,4.32,LT,1674692206
46,berlevag,70.8578,29.0864,0.97,75,100,12.35,NO,1674692206
47,naliya,23.2667,68.8333,13.33,36,4,5.35,IN,1674692207
48,singkawang,0.9,109.0,24.04,93,98,0.62,ID,1674692208
49,campo gobierno,24.6536,-107.5411,25.39,35,100,3.09,MX,1674692208
50,sao filipe,14.8961,-24.4956,21.43,69,100,2.62,CV,1674692209
51,torbay,47.6666,-52.7314,-0.79,76,13,2.68,CA,1674692123
52,salalah,17.0151,54.0924,24.05,64,75,5.66,OM,1674692210
53,kenai,60.5544,-151.2583,4.05,92,20,5.66,US,1674692211
54,arraial do cabo,-22.9661,-42.0278,22.98,88,20,1.03,BR,1674692211
55,bosaso,11.2842,49.1816,23.18,69,35,1.76,SO,1674692212
56,camana,-16.6228,-72.7111,22.63,82,85,1.67,PE,1674692213
57,mahebourg,-20.4081,57.7,24.16,100,75,4.63,MU,1674692213
58,gombong,-7.6072,109.5142,24.57,90,100,0.33,ID,1674692214
59,los llanos de aridane,28.6585,-17.9182,14.86,75,100,10.28,ES,1674692214
60,cookeville,36.1628,-85.5016,4.45,84,100,0.89,US,1674692059
61,punta arenas,-53.15,-70.9167,9.06,53,75,7.72,CL,1674692215
62,chuy,-33.6971,-53.4616,22.94,75,91,4.29,UY,1674692216
63,milkovo,54.7167,158.6167,-2.26,82,100,16.87,RU,1674692217
64,pevek,69.7008,170.3133,-27.56,77,5,0.81,RU,1674692217
65,pangai,-19.8,-174.35,30.06,74,40,2.57,TO,1674692218
66,jamestown,42.097,-79.2353,2.77,73,100,4.12,US,1674692219
67,walvis bay,-22.9575,14.5053,16.16,82,20,2.9,NA,1674692220
68,predivinsk,57.0669,93.4378,-21.11,99,75,2.79,RU,1674692220
69,port hardy,50.6996,-127.4199,7.42,89,61,1.14,CA,1674692120
70,bacolod,10.6667,122.95,25.06,88,99,6.92,PH,1674692222
71,port elizabeth,-33.918,25.5701,19.62,90,40,3.6,ZA,1674692222
72,kahului,20.8947,-156.47,28.01,51,40,5.14,US,1674692223
73,verkhoyansk,67.5447,133.385,-37.84,92,100,0.74,RU,1674692224
74,yantal,56.8471,105.2542,-18.25,98,100,1.66,RU,1674692225
75,emba,48.8264,58.1442,-17.7,96,23,0.96,KZ,1674692226
76,cherskiy,68.75,161.3,-35.92,97,39,1.35,RU,1674692227
77,mandalgarh,25.2,75.1,8.44,50,0,2.65,IN,1674692228
78,laguna,38.421,-121.4238,21.16,36,0,8.23,US,1674692228
79,sabang,5.8933,95.3214,26.38,78,90,7.52,ID,1674692230
80,constitucion,-35.3333,-72.4167,14.61,72,0,7.52,CL,1674692231
81,acaponeta,22.4964,-105.3594,23.17,56,100,2.24,MX,1674692233
82,lompoc,34.6391,-120.4579,20.08,53,0,2.06,US,1674692235
83,ngunguru,-35.6167,174.5,20.2,74,92,7.68,NZ,1674692236
84,saskylakh,71.9167,114.0833,-33.66,97,86,4.16,RU,1674692237
85,tiksi,71.6872,128.8694,-35.76,97,100,2.05,RU,1674692238
86,novyy svit,47.8059,38.0211,-2.82,52,0,3.39,UA,1674692239
87,pachino,36.7186,15.0907,9.98,75,9,4.63,IT,1674692240
88,hobart,-42.8794,147.3294,18.48,49,75,6.69,AU,1674692227
89,le pradet,43.1066,6.0172,8.13,75,0,2.57,FR,1674692242
90,port keats,-14.25,129.55,27.29,81,100,1.81,AU,1674692186
91,potenza,40.6443,15.8086,4.4,87,100,0.45,IT,1674692243
92,shestakovo,56.4915,103.96,-16.95,98,100,1.84,RU,1674692244
93,kavaratti,10.5669,72.642,26.33,78,77,7.22,IN,1674692245
94,esperance,-33.8667,121.9,20.3,70,61,3.51,AU,1674692246
95,ngaoundere,7.3167,13.5833,19.54,21,45,1.65,CM,1674692247
96,saint-joseph,-21.3667,55.6167,23.21,87,100,2.91,RE,1674692249
97,kurchum,48.5722,83.6542,-26.11,97,79,0.81,KZ,1674692250
